id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
6441,Ferrán Torres,22,1277,7,5.728707629255951,2,2.202425992116332,36,18,1,0,F M S,Manchester City,7,5.728707629255951,9.768890779465435,2.724256752058864,287,0.4037460349514766,0.4037460349514766,0.1552218788492325
7490,Mason Greenwood,30,1741,7,6.52393177524209,2,2.4278998095542192,64,14,2,0,F M S,Manchester United,7,6.52393177524209,13.446798803284766,5.820841267704964,315,0.3372509246248065,0.3372509246248065,0.12550889308436514
7711,David McGoldrick,33,2229,7,6.7593025378882885,1,1.0166937112808228,61,14,7,0,F M S,Sheffield United,7,6.7593025378882885,9.17389976233244,3.0819450253620744,344,0.272919348770725,0.272919348770725,0.041050890092092444
65,Timo Werner,33,2425,6,12.785178245976567,8,6.206777170300484,73,32,1,0,F M S,Chelsea,6,12.785178245976567,19.0822137221694,4.7621055180206895,117,0.47450146067541904,0.47450146067541904,0.2303546166297087
501,Danny Welbeck,23,1523,6,7.380381532013416,1,3.231366850435734,35,22,0,0,F M S,Brighton,6,6.6192494705319405,10.265666516497733,1.476512636989355,588,0.4361354812089347,0.3911572241286111,0.19095404894236118
675,Jack Grealish,24,2020,6,5.120225489139557,10,8.994382288306953,47,76,5,0,F M S,Aston Villa,6,5.120225489139557,16.8618765771389,6.588655941188335,37,0.22812885842700997,0.22812885842700997,0.40073980492456723
695,Bertrand Traoré,34,2197,6,5.770434864796697,5,3.842193147167563,56,31,1,0,F M S,Aston Villa,6,5.770434864796697,8.658522147685291,1.3322140527889132,362,0.23638558845321017,0.23638558845321017,0.15739525864591747
702,Tammy Abraham,22,1027,6,6.189150683581829,1,0.7214874606579542,32,9,0,0,F S,Chelsea,6,6.189150683581829,7.9011704083532095,2.1223282255232334,118,0.5423793198854573,0.5423793198854573,0.06322674923000572
714,Gylfi Sigurdsson,34,2103,6,5.534053766168653,4,4.660686491057278,43,39,2,0,F M S,Everton,3,3.250547208823264,8.27518861182034,3.618117325007916,150,0.23683539655500654,0.13911043689685865,0.19945876566578935
1389,Jorginho,26,1870,6,6.211521840654314,1,1.433983601629734,13,20,1,0,M S,Chelsea,0,0.12224532943218945,9.655267720110713,9.26482228655368,105,0.29895024901544826,0.0058834650528861235,0.06901525355437223
